Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-05-06,The Devil's Backbone,2001,https://boxd.it/4dehXh,3,,,2023-05-05
2023-05-07,Carmen,2022,https://boxd.it/4duKh7,3,,,2023-05-06
2023-05-07,A History of Violence,2005,https://boxd.it/4dxwtJ,2,,,2023-05-06
2023-05-08,Crash,1996,https://boxd.it/4dPU03,1,,,2023-05-07
2023-05-09,A Dangerous Method,2011,https://boxd.it/4e6whX,2,,,2023-05-08
2023-05-12,M. Butterfly,1993,https://boxd.it/4eLCgN,2.5,,,2023-05-11
2023-05-14,Gangs of New York,2002,https://boxd.it/4f6Hb1,2,,,2023-05-13
2023-05-15,The Irishman,2019,https://boxd.it/4fuVKR,2,,,2023-05-13
2023-05-15,Bedazzled,2000,https://boxd.it/4fwWQZ,2.5,,,2023-05-14
2023-05-16,Sherlock Jr.,1924,https://boxd.it/4fLSsz,5,,,2023-05-15
2023-05-17,The General,1926,https://boxd.it/4fZfx9,3,,,2023-05-16
2023-05-19,Keanu,2016,https://boxd.it/4gletz,3,,,2023-05-17
2023-05-20,The Navigator,1924,https://boxd.it/4gwBwN,3,,,2023-05-18
2023-05-21,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/4gV0iJ,2,,,2023-05-20
2023-05-21,Safety Last!,1923,https://boxd.it/4gWgdR,4,,,2023-05-20
2023-05-22,Nosferatu,1922,https://boxd.it/4hfiGz,5,Yes,,2023-05-21
2023-05-23,The Prince & Me,2004,https://boxd.it/4huIYf,1,,,2023-05-22
2023-05-24,Fanny and Alexander,1982,https://boxd.it/4hJt1n,1,,,2023-05-23
2023-05-26,The Worst Person in the World,2021,https://boxd.it/4i5vdJ,2,,,2023-05-24
2023-05-27,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/4ij7QF,3,,,2023-05-25
2023-05-29,Killer Klowns from Outer Space,1988,https://boxd.it/4iWd33,5,Yes,,2023-05-28
2023-06-02,"Steamboat Bill, Jr.",1928,https://boxd.it/4jUwSp,3,,,2023-05-30
2023-06-03,College,1927,https://boxd.it/4kbhwn,1.5,,,2023-06-01
2023-06-03,The Freshman,1990,https://boxd.it/4kbYR9,2,,,2023-06-02
2023-06-06,Wings,1927,https://boxd.it/4l6gRt,3.5,,,2023-06-05
2023-06-08,Don't Look Now,1973,https://boxd.it/4ltScz,2.5,,,2023-06-07
2023-06-08,Prisoners,2013,https://boxd.it/4lxz3h,1.5,,,2023-06-07
2023-06-08,The Broadway Melody,1929,https://boxd.it/4lDrdP,1,,,2023-06-07
2023-06-09,The Skulls,2000,https://boxd.it/4lMbcp,2,,,2023-06-08
2023-06-09,Booksmart,2019,https://boxd.it/4lSpij,5,Yes,,2023-06-08
2023-06-11,Little Italy,2018,https://boxd.it/4menv5,1,,,2023-06-09
2023-06-11,The Innocents,1961,https://boxd.it/4mepf9,4,,,2023-06-10
2023-06-11,Rebel Without a Cause,1955,https://boxd.it/4mndZd,2,,,2023-06-10
2023-06-11,Full Metal Jacket,1987,https://boxd.it/4mneAX,1.5,,,2023-06-10
2023-06-25,WolfCop,2014,https://boxd.it/4qkyKX,4,Yes,,2023-06-11
